id,name,description,category,type,intervention_type,path,path_type,key_name,data_type,expected_value,expected_value_raw/0,rule_logic/type,rule_logic/operator,rule_logic/value/0,remediation,rule_logic/exclude/0,registry_type,rule_logic/min,rule_logic/max,expected_value_raw/1,expected_value_raw/2,rule_logic/value/1,rule_logic/value/2,expected_value_raw/3,expected_value_raw/4,expected_value_raw/5,expected_value_raw/6,expected_value_raw/7,expected_value_raw/8,expected_value_raw/9,expected_value_raw/10,rule_logic/value/3,rule_logic/value/4,rule_logic/value/5,rule_logic/value/6,rule_logic/value/7,rule_logic/value/8,rule_logic/value/9,rule_logic/value/10,service_name,expected_state
1.1.1,Enforce password history,Xác định số lượng mật khẩu mới và duy nhất phải được liên kết với tài khoản trước khi có thể sử dụng lại mật khẩu cũ.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Enforce password history,integer,24 or more password(s),24,comparison,>=,24,Set to 24 or more via secpol.msc > Account Policies > Password Policy,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.2,Maximum password age,Xác định thời gian tối đa người dùng có thể sử dụng mật khẩu trước khi hết hạn.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Maximum password age,integer,"365 or fewer days, but not 0",365,comparison,<=,365,Set to 365 or fewer (not 0) via secpol.msc,0,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.3,Minimum password age,Xác định số ngày tối thiểu phải sử dụng mật khẩu trước khi có thể thay đổi.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Minimum password age,integer,1 or more day(s),1,comparison,>=,1,Set to 1 or more days via secpol.msc,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.4,Minimum password length,Quy định số lượng ký tự ít nhất tạo nên mật khẩu cho tài khoản người dùng.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Minimum password length,integer,14 or more character(s),14,comparison,>=,14,Set to 14 or more via secpol.msc,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.5,Password must meet complexity requirements,Kiểm tra tất cả mật khẩu mới để đảm bảo đáp ứng các yêu cầu cơ bản về mật khẩu mạnh.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Password must meet complexity requirements,integer,Enabled,1,comparison,==,1,Enable via secpol.msc > Account Policies > Password Policy,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
1.1.6,Relax minimum password length limits,Xác định xem giới hạn độ dài mật khẩu tối thiểu có thể được tăng vượt quá giới hạn cũ là 14 ký tự hay không.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Relax minimum password length limits,integer,Enabled,1,comparison,==,1,Enable via secpol.msc,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
1.1.7,Store passwords using reversible encryption,Xác định xem hệ điều hành có lưu trữ mật khẩu bằng cách sử dụng mã hóa có thể dịch ngược hay không.,Account Policies / Password Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Password Policy,Secpol,Store passwords using reversible encryption,integer,Disabled,0,comparison,==,0,Disable via secpol.msc,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1,Account lockout duration,Xác định khoảng thời gian phải trôi qua trước khi tài khoản bị khóa được mở và có thể thử đăng nhập lại.,Account Policies / Account Lockout Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Account Lockout Policy,Secpol,Account lockout duration,integer,15 or more minute(s),15,comparison,>=,15,Set to 15 or more minutes via secpol.msc,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.2,Account lockout threshold,Xác định số lần đăng nhập không thành công trước khi tài khoản bị khóa.,Account Policies / Account Lockout Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Account Lockout Policy,Secpol,Account lockout threshold,integer,"5 or fewer invalid logon attempt(s), but not 0",5,comparison,<=,5,Set to 5 or fewer (not 0) via secpol.msc,0,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3,Allow Administrator account lockout,Cho phép khóa tài khoản quản trị viên tích hợp sẵn khi có quá nhiều lần nhập mật khẩu sai.,Account Policies / Account Lockout Policy,Manual,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Account Lockout Policy,Secpol,Allow Administrator account lockout,integer,Enabled,1,comparison,==,1,Enable via secpol.msc,,DWORD,,,,,,,,,,,,,,,,,,,,,,,,
1.2.4,Reset account lockout counter after,Xác định khoảng thời gian trước khi ngưỡng khóa tài khoản được đặt lại về không.,Account Policies / Account Lockout Policy,Automated,Secpol,Computer Configuration\Windows Settings\Security Settings\Account Policies\Account Lockout Policy,Secpol,Reset account lockout counter after,integer,15 or more minute(s),15,comparison,>=,15,Set to 15 or more minutes via secpol.msc,,,,,,,,,,,,,,,,,,,,,,,,,,
